,S3KO_126_Proteins_norm,S3KO_127C_Proteins_norm,S3KO_129N_Proteins_norm,S3FL_127N_Proteins_norm,S3FL_130N_Proteins_norm,DFC_128N_Proteins_norm,DFC_129C_Proteins_norm,DKO_128C_Proteins_norm,DKO_130C_Proteins_norm,DKO_131_Proteins_norm
229,10115.130814553464,9900.559290161878,10738.659447251855,10196.513121658827,10345.458853463038,10057.2454750886,10491.485301190367,10681.743569159413,10267.214139763017,10155.843519505803
230,891.3256968348063,1018.2312540946219,951.0127367007824,970.7032868789502,946.4140976495183,939.1095128596464,1028.8744306432213,955.061647213714,996.4623986080768,997.2575042551464
231,6053.0635056667115,4971.202853556524,5631.497859856665,6214.805376172175,6255.4603446248875,10304.028001824305,7096.055209050095,6828.41601876125,6443.085164888548,6004.3192472974415
232,2150.9584983579275,1812.8398004094674,2138.6082641114444,2495.888421604185,2326.7700730752954,3887.862835245164,2568.8150861963973,3411.1856623957715,3238.103731640203,2859.7281442766002
233,9157.701118531984,9314.804127996986,9765.109831730575,9261.335078711154,9220.449965233169,9379.631565723224,9983.188104118559,10132.22593554968,9969.712049990361,9837.96946863935
234,4875.849732916765,4768.314003949385,4561.268300409763,4762.110941901303,4853.471482508238,4421.77601945939,4259.487170156467,4833.227394651035,5026.508312882533,5172.1172036533435
235,1092.356865992583,1324.2213436561115,1276.0010617210269,1208.2423503545708,1315.259754744112,1587.0264758841122,1364.0471915735664,1396.3243070023286,1333.8708719853812,1288.9503441281204
238,1889.0741441332677,1966.6869215534714,2027.8835986020345,1912.2182652305808,1997.8316590086117,1808.9863271068984,2232.6791851484368,2110.257616588092,1983.7463289870846,1867.7827697882465
239,188.09166293400185,206.29715506017493,188.78718780070483,212.86342106930093,196.96792722191208,182.78515604967166,182.99662234702743,169.80094878540714,187.16093910580219,197.40253651240937
240,4173.647108932348,4255.364033267408,4435.301301398566,4365.092337426085,4357.989475013198,4388.378237860191,4499.549844472239,4493.185882973334,4358.475451340714,4311.077884132374
243,34.13029177865238,19.976456960852186,27.218452681762518,19.010806211872616,20.15118212300404,14.713076758566164,19.864764925828634,19.782634809950345,19.853425843312703,19.25647040462235
246,474.35479700055595,492.1214373578656,520.5256890860264,558.2264005849868,484.91251491091595,487.78813989749415,502.87953391021944,525.9982788912354,547.7151149738028,568.0184472062986
247,8070.032479432073,7848.948757736916,7683.769192061559,8169.845962465863,8063.436258337353,8381.398953005537,7367.901507247191,7770.83876040194,8206.847554255008,7730.57170258472
252,7816.680698152076,8183.814768497743,8076.803648786209,7991.163586908818,8040.321667078614,7653.417578417585,8088.4507077386115,7998.668771296534,7902.062549474504,8169.012127265334
253,7498.5376212153515,7200.9920210541095,6954.423534001051,7382.62575978332,7408.819180253296,7387.499025468285,6726.690973944384,7247.148455571865,7305.462114585006,7460.886257459886
254,4462.629414596651,4252.807804177631,4833.670574848842,4478.773118006171,4347.321202124549,5088.377687324489,4382.648712696605,4626.718667940499,5000.369631621488,4774.845784665372
256,3627.1873823224964,3498.5308723903827,3751.0294009790564,3693.665227124947,3811.5368303835003,3426.1610707048826,3557.7192019585573,3757.3817715699024,3722.6669945596495,3669.448495871952
259,4091.696902848441,3573.1348917512905,3373.8905206205545,4401.289680566872,4778.497231374121,4722.897639499739,3169.6941270740385,5024.459531147222,4219.401704478514,3552.2022031620345
260,4032.7190085386264,4282.819827194646,4320.221683460074,4218.862752271125,4316.205406199322,3810.8674090178206,4302.58769041978,4251.068413604886,3986.8472540224234,3999.464557633928
262,9193.89423014341,9555.941738799309,10477.580049128392,9885.523216000973,9888.896285950661,10704.079266817958,10187.734986597243,10440.395424478018,10571.89937858451,10364.629191232765
263,4947.579604374647,4934.279544481963,5154.630568872186,5089.615285278563,5386.786346636174,5494.566922990426,5383.2309023848575,5609.476003888142,5296.574763926992,4953.8455859142505
264,7051.843362881561,6448.608592296327,6552.570298607508,7028.429476371208,6947.317597514693,7947.2277922159465,6341.0737493539045,6823.8000706389275,6760.64021242254,7019.1257516750275
