,TAC-MI_126_Proteins_norm,DKO_127N_Proteins_norm,Sham_127C_Proteins_norm,DKO_128N_Proteins_norm,DFC_128C_Proteins_norm,Sham_129N_Proteins_norm,DKO_129C_Proteins_norm,TAC-MI_130N_Proteins_norm,Sham_130C_Proteins_norm,DFC_131N_Proteins_norm,TAC-MI_131C_Proteins_norm
90,13485.89588644203,15260.01551167496,16901.408566617793,14181.896300387536,14789.392407564339,16020.482921776756,14757.064390105577,12719.077351033888,16691.95018341384,16664.7801753124,12276.091933374293
91,12822.294772071122,11251.764930127772,11667.374961959871,10413.34704519621,11476.450491315516,11509.077671868177,10494.158413396539,12758.281026969593,11640.71093426712,11383.94168621567,13232.565618836225
92,7260.354389043101,8759.423437667805,8109.090961368195,8223.58690983107,8025.414771902104,7481.970268386311,8791.940933070757,6405.197193979593,7625.369708074715,8115.679754742847,6454.477100455337
93,2116.5512048715004,3756.2937733744384,2184.233188505294,3222.2377121435197,3517.6384828865985,2357.7751634921137,3325.376964468072,2482.1717240744606,2303.736736167793,3348.135286826856,2151.5920929872977
94,6133.224164741875,6172.6313993775075,6124.815804335684,6685.4234585700715,7242.243089226573,6732.059226714097,6644.528111736694,6646.684243811153,6151.151568981379,6465.764687144461,5753.003228748609
95,5683.087713259036,5974.152224196017,6608.414743888805,5882.792006646999,5829.269390222022,6530.869347627384,6113.653667364555,5300.374956169251,6567.13336277153,5695.9479396399865,5244.399767602133
96,7769.173176013369,10156.848086164113,7531.789221824249,8487.836754011854,10164.29748931166,8582.485999465804,10978.092172534729,11126.629729974837,7717.056852043957,11946.617989337283,8147.328816722284
97,7310.858001814513,6778.888611862164,8759.505108895582,6868.1779676110755,6912.0225725567625,8461.67750567813,7054.443821948093,6722.148946883514,8220.280352519994,7342.631616306,7107.783232606428
98,10412.025187660625,9830.217700912357,9517.716014579277,10491.304409199682,9732.64524111388,8789.586274530388,10143.931490303674,10517.121731952651,9759.401875950347,9969.089594902958,10105.65159447392
99,33061.770941264986,42031.557126000735,36891.70626148779,44868.18395364164,39853.15580999694,37755.254882878304,39997.120251646775,30319.15474229527,37165.967271575915,38514.36852970563,28586.007670653253
100,2977.3617707323915,3344.8796117716993,3502.789040315088,2821.470981703134,3161.4926441308958,3350.2488560961337,2898.9578975533695,2718.9125661656194,3379.0880150119033,3524.9503701520684,2693.803273036982
101,5677.771543493624,6154.45077787965,6776.881587585589,5854.244239547136,6222.688335141618,6121.7517380391855,6154.665002884741,5252.343333836401,6359.753713502916,6230.7845670365405,5209.495608503846
102,5689.221755296049,5372.861425388824,5076.137229585248,5743.59114228399,5622.215976121893,5172.069312314948,5760.363246919581,5855.3964893316415,5197.049592040837,5127.305991720149,5725.57853231424
103,6200.187456979272,6354.614986273135,7612.939590323941,7028.85065680133,6765.636157950558,7024.860243457803,6706.094526264587,6077.708859891984,7032.7929182031985,6969.944528772352,5897.3069950778145
104,5747.495154647677,5027.873046722159,5314.082882675933,5593.89836351676,5504.1990217106895,5458.014269724325,5371.990840668183,6002.908625903277,5188.269853406206,5224.164863513576,5765.070095179731
106,2646.021266699713,2167.7508842543125,2168.928030809965,2635.5444985399236,2593.8415682906166,2922.454395217865,2562.467301297388,3410.34010978711,2311.516251413668,2419.8146712806138,3228.1360857473387
107,18489.740678135775,21937.53607294175,20855.864922517325,21966.774789316438,20107.57506104258,20264.383649726915,21439.34269501989,17242.972720873677,20350.98961134516,21566.137370299723,16722.482897820722
108,4074.741891154102,5471.214153394307,3452.2489872060537,4778.213018090758,3810.673184039269,3336.5367374274742,5265.262545820471,4879.576177905375,3809.07293624463,4711.202267043853,3621.356369531761
109,14038.777542044843,17715.197587512474,15965.59176623938,17693.393652675393,16056.678017136715,14956.375229920946,16939.262729760376,13868.13424498476,14853.317323017294,15132.935161012243,13898.237795924995
110,449.5230472791376,468.97134868620066,437.90368456347,532.4036565119764,515.9750129620002,461.60192587168876,498.7571334225961,551.3194911248792,491.8876354034759,565.6591255207243,472.1036833465524
111,11233.16894834883,14645.599191005897,11828.354390381242,15901.594270642536,13960.829588576806,11923.160014077788,14559.71586713254,10106.859534872463,11639.821846810448,12731.348848837324,9897.822258585831
112,11508.791903878635,17926.092796887624,14989.475054231545,21059.712189369933,16176.266203189489,15628.978292202613,18035.401846844474,10589.92855869039,13651.271081597504,15284.727678656007,9321.504728788677
113,7972.6189035743155,7784.676067507058,9067.700334717345,7847.34197933544,7820.98007720459,8846.444283837502,8185.071989867237,7046.314935552843,8917.880598210826,7948.475988037,6871.033307751185
114,7037.075258895811,8617.171160191885,9083.666146701682,8500.03665448188,8465.883375422025,8526.337237676034,8872.975379158835,6119.28563969789,8719.614095373094,8684.98455208471,6055.2732465397785
115,61.749356505935665,50.817054235475226,70.46979082741282,54.411556096320226,56.12788586272477,71.27937549311865,68.97810167009551,68.34539146176189,73.34971517539405,53.44223465077884,61.63077235069061
116,6778.729855103594,7499.639396804061,7182.74353913222,7950.919134325968,7282.222205439835,7381.020705084282,7788.398494016573,6197.503143259683,7217.945381055026,7509.255389767575,6262.903130090164
117,11955.96356837692,14233.652913652002,13284.546552400827,14152.494540254771,13833.90898819671,12681.582025958136,14308.11379427858,10753.198104960155,13516.018652251361,13521.46535989132,10304.106670489899
118,20.54904082399515,14.987926990916776,21.25104629639168,15.127876582833427,17.98187323129285,23.168752233252498,19.17156407449646,21.92747976064861,26.450351835975432,18.311215283445154,22.538114160608544
119,9398.783677179948,13807.960312726555,9679.245988241488,15346.49879925631,12423.728589888284,10196.37872518313,14345.56751997051,8803.266116894163,9627.705796430888,10613.544945466925,8064.456370406064
120,14782.632373066679,14339.721320049259,13886.622827782536,13349.741089326997,14725.059200906751,13987.661329147966,13807.18256596094,15933.114308678047,14313.530100885644,14482.928446538817,15133.346397160112
121,165.82360306726432,182.24964477120696,185.75396425913348,182.26651302220273,167.94720435440507,188.54163169407008,167.30648442331193,154.44159987262026,176.81726794553322,187.83495496638082,163.25173841113354
122,11727.266034430266,15665.310342139393,14722.130285280049,16961.76562148788,15418.845261306342,14655.77249048645,16907.73835378221,10844.799914349876,14431.000781098359,15318.947280068056,9857.93179104493
123,29423.466141044395,29240.558699693374,28389.52599816043,27146.97452789458,31011.748072239858,27930.167233025,27474.234833686638,28509.900351654742,28748.420639606942,30501.430435376682,28016.571246506905
124,9489.771967395649,11025.260992052023,10488.437383226888,11843.66337630217,11546.806752599117,11128.566378812873,11746.23942795257,9438.688409178932,10441.22081928526,10280.048830010513,8149.522792437033
125,2351.689482957017,1731.4159683057292,1751.394520157544,1872.806721153838,1749.129979653622,1918.632742336333,1829.9949666573477,2806.5275610534054,1946.5458504500405,2065.1073743193983,3271.7164215357716
126,7098.620147333846,5691.421388414699,6284.033487986371,5381.62009533829,6139.8495113722165,6327.197102229966,5335.031227452402,7155.287865272429,6127.701887311669,5722.959053587512,7503.1974921056
